id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,4.65441E+15,04/23,refunded,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,2,4.58025E+15,04/23,refunded,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,4,4.3545E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
4,5,4.51555E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
5,6,4.84452E+15,04/23,refunded,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
6,7,4.2037E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
7,8,4.80165E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
8,9,4.54084E+15,04/23,refunded,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
9,10,4.14015E+15,04/23,refunded,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
10,11,4.92366E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
11,12,4.80075E+15,04/23,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
12,12,4.0175E+15,04/23,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
13,12,4.5369E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
14,13,4.41151E+15,04/23,refunded,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
15,13,4.86964E+15,04/23,refunded,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
16,15,4.73885E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
17,16,4.76314E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
18,17,4.2145E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
19,18,4.43611E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
20,19,4.33288E+15,04/23,refunded,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
